"Time Stamp","Current Quantity","Openeing Quantity","Stock","City","Product"
"2024-03-10 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-11 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-11 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-12 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-12 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-13 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-13 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-14 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-14 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-15 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-15 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-16 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-16 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-17 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-17 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-18 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-18 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-19 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-19 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-20 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-20 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-21 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-21 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-22 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-22 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-23 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-23 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-24 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-24 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-25 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-25 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-26 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-26 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-27 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-27 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-28 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-28 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-29 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-29 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-30 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-30 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-31 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-03-31 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-01 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-01 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-02 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-02 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-03 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-03 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-04 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-04 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-05 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-05 23:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-04-06 04:55:00","0","0","0","Pune","Delete Chocolate Milk Pack of 2"
"2024-01-08 23:55:00","1","1","172","Pune","Insulated Door Bag"
"2024-01-09 04:55:00","0","0","172","Pune","Insulated Door Bag"
"2024-01-09 23:55:00","2","2","170","Pune","Insulated Door Bag"
"2024-01-10 04:55:00","0","0","170","Pune","Insulated Door Bag"
"2024-01-10 23:55:00","2","2","168","Pune","Insulated Door Bag"
"2024-01-11 04:55:00","0","0","168","Pune","Insulated Door Bag"
"2024-01-11 23:55:00","1","1","167","Pune","Insulated Door Bag"
"2024-01-12 04:55:00","0","0","167","Pune","Insulated Door Bag"
"2024-01-12 23:55:00","2","2","165","Pune","Insulated Door Bag"
"2024-01-13 04:55:00","0","0","165","Pune","Insulated Door Bag"
"2024-01-13 23:55:00","0","0","165","Pune","Insulated Door Bag"
"2024-01-14 04:55:00","0","0","165","Pune","Insulated Door Bag"
"2024-01-14 23:55:00","1","1","159","Pune","Insulated Door Bag"
"2024-01-15 04:55:00","0","0","159","Pune","Insulated Door Bag"
"2024-01-15 23:55:00","1","1","118","Pune","Insulated Door Bag"
"2024-01-16 04:55:00","0","0","118","Pune","Insulated Door Bag"
"2024-01-16 23:55:00","0","0","118","Pune","Insulated Door Bag"
"2024-01-17 04:55:00","0","0","118","Pune","Insulated Door Bag"
"2024-01-17 23:55:00","1","1","117","Pune","Insulated Door Bag"
"2024-01-18 04:55:00","0","0","117","Pune","Insulated Door Bag"
"2024-01-18 23:55:00","1","1","116","Pune","Insulated Door Bag"
"2024-01-19 04:55:00","0","0","116","Pune","Insulated Door Bag"
"2024-01-19 23:55:00","4","4","112","Pune","Insulated Door Bag"
"2024-01-20 04:55:00","0","0","112","Pune","Insulated Door Bag"
"2024-01-20 23:55:00","1","1","106","Pune","Insulated Door Bag"
"2024-01-21 04:55:00","0","0","106","Pune","Insulated Door Bag"
"2024-01-21 23:55:00","1","1","105","Pune","Insulated Door Bag"
"2024-01-22 04:55:00","0","0","105","Pune","Insulated Door Bag"
"2024-01-22 23:55:00","0","0","103","Pune","Insulated Door Bag"
"2024-01-23 04:55:00","0","0","103","Pune","Insulated Door Bag"
"2024-01-23 23:55:00","1","1","102","Pune","Insulated Door Bag"
"2024-01-24 04:55:00","0","0","102","Pune","Insulated Door Bag"
"2024-01-24 23:55:00","1","1","101","Pune","Insulated Door Bag"
"2024-01-25 04:55:00","0","0","101","Pune","Insulated Door Bag"
"2024-01-25 23:55:00","2","2","99","Pune","Insulated Door Bag"
"2024-01-26 04:55:00","0","0","99","Pune","Insulated Door Bag"
"2024-01-26 23:55:00","0","0","99","Pune","Insulated Door Bag"
"2024-01-27 04:55:00","0","0","99","Pune","Insulated Door Bag"
"2024-01-27 23:55:00","2","2","97","Pune","Insulated Door Bag"
"2024-01-28 04:55:00","0","0","97","Pune","Insulated Door Bag"
"2024-01-28 23:55:00","2","2","95","Pune","Insulated Door Bag"
"2024-01-29 04:55:00","0","0","95","Pune","Insulated Door Bag"
"2024-01-29 23:55:00","2","2","53","Pune","Insulated Door Bag"
"2024-01-30 04:55:00","0","0","53","Pune","Insulated Door Bag"
"2024-01-30 23:55:00","3","3","50","Pune","Insulated Door Bag"
"2024-01-31 04:55:00","0","0","50","Pune","Insulated Door Bag"
"2024-01-31 23:55:00","3","3","47","Pune","Insulated Door Bag"
"2024-02-01 04:55:00","0","0","47","Pune","Insulated Door Bag"
"2024-02-01 23:55:00","1","1","46","Pune","Insulated Door Bag"
"2024-02-02 04:55:00","1","1","45","Pune","Insulated Door Bag"
"2024-02-02 23:55:00","4","4","42","Pune","Insulated Door Bag"
"2024-02-03 04:55:00","0","0","42","Pune","Insulated Door Bag"
"2024-02-03 23:55:00","0","0","42","Pune","Insulated Door Bag"
"2024-02-04 04:55:00","0","0","42","Pune","Insulated Door Bag"
"2024-02-04 23:55:00","3","3","39","Pune","Insulated Door Bag"
"2024-02-05 04:55:00","0","0","39","Pune","Insulated Door Bag"
"2024-02-05 23:55:00","0","0","39","Pune","Insulated Door Bag"
"2024-02-06 04:55:00","0","0","39","Pune","Insulated Door Bag"
"2024-02-06 23:55:00","1","0","38","Pune","Insulated Door Bag"
"2024-02-07 04:55:00","1","1","37","Pune","Insulated Door Bag"
"2024-02-07 23:55:00","1","1","37","Pune","Insulated Door Bag"
"2024-02-08 04:55:00","0","0","37","Pune","Insulated Door Bag"
"2024-02-08 23:55:00","0","0","37","Pune","Insulated Door Bag"
"2024-02-09 04:55:00","0","0","37","Pune","Insulated Door Bag"
"2024-02-09 23:55:00","2","1","35","Pune","Insulated Door Bag"
"2024-02-10 04:55:00","1","1","34","Pune","Insulated Door Bag"
"2024-02-10 23:55:00","2","2","33","Pune","Insulated Door Bag"
"2024-02-11 04:55:00","0","0","33","Pune","Insulated Door Bag"
"2024-02-11 23:55:00","2","2","31","Pune","Insulated Door Bag"
